timestamp,date,time,day_of_week,hour,is_weekend,is_rush_hour,route_name,origin,destination,distance_km,duration_minutes,duration_in_traffic_minutes,delay_minutes,avg_speed_kmh,traffic_status,traffic_multiplier
2025-12-24 00:45:47,2025-12-24,00:45:47,Wednesday,0.0,0.0,0.0,Nyanya to Wuse,Nyanya,Wuse 2,24.31,26.15,28.86,2.71,50.54,No Traffic,1.1
2025-12-24 00:45:47,2025-12-24,00:45:47,Wednesday,0.0,0.0,0.0,Lugbe to Area 1,Lugbe,Area 1,35.45,44.06,44.43,0.37,47.88,No Traffic,1.01
2025-12-24 00:45:47,2025-12-24,00:45:47,Wednesday,0.0,0.0,0.0,Kuje to Central,Kuje,Central Area,40.56,35.02,36.86,1.84,66.02,No Traffic,1.05
2025-12-24 00:45:47,2025-12-24,00:45:47,Wednesday,0.0,0.0,0.0,Airport to Maitama,Airport Road,Maitama,41.36,45.21,44.31,-0.9,56.0,No Traffic,0.98
2025-12-24 00:45:47,2025-12-24,00:45:47,Wednesday,0.0,0.0,0.0,Kubwa to CBD,Kubwa,Central Business District,4.04,7.53,8.05,0.52,30.15,No Traffic,1.07
2025-12-24 00:45:47,2025-12-24,00:45:47,Wednesday,0.0,0.0,0.0,Gwagwalada to City Gate,Gwagwalada,City Gate,55.09,43.08,38.57,-4.51,85.71,No Traffic,0.9
2025-12-24 00:45:47,2025-12-24,00:45:47,Wednesday,0.0,0.0,0.0,Wuse to CBD,Wuse Market,Central Business District,3.78,7.07,7.48,0.42,30.28,No Traffic,1.06
2025-12-24 00:45:47,2025-12-24,00:45:47,Wednesday,0.0,0.0,0.0,Maitama to Wuse,Maitama,Wuse,3.76,4.9,5.14,0.25,43.92,No Traffic,1.05
2025-12-24 00:45:47,2025-12-24,00:45:47,Wednesday,0.0,0.0,0.0,Asokoro to Wuse,Asokoro,Wuse,9.11,8.22,8.86,0.64,61.65,No Traffic,1.08
2025-12-24 00:45:47,2025-12-24,00:45:47,Wednesday,0.0,0.0,0.0,Asokoro to Maitama,Asokoro,Maitama,7.33,7.04,7.22,0.19,60.91,No Traffic,1.03
2025-12-24 00:45:47,2025-12-24,00:45:47,Wednesday,0.0,0.0,0.0,CBD to Maitama,CBD,Maitama,4.0,5.75,6.68,0.92,35.96,No Traffic,1.16
2025-12-24 00:45:47,2025-12-24,00:45:47,Wednesday,0.0,0.0,0.0,Garki to CBD,Garki,CBD,3.83,6.65,6.86,0.21,33.46,No Traffic,1.03
2025-12-24 00:45:47,2025-12-24,00:45:47,Wednesday,0.0,0.0,0.0,Area 1 to Garki,Area 1,Garki,2.99,3.96,4.1,0.14,43.67,No Traffic,1.04
2025-12-24 00:45:47,2025-12-24,00:45:47,Wednesday,0.0,0.0,0.0,Area 2 to Garki,Area 2,Garki,2.47,2.88,2.82,-0.07,52.67,No Traffic,0.98
2025-12-24 00:45:47,2025-12-24,00:45:47,Wednesday,0.0,0.0,0.0,Area 3 to CBD,Area 3,CBD,3.56,7.08,8.23,1.16,25.93,No Traffic,1.16
2025-12-24 00:45:47,2025-12-24,00:45:47,Wednesday,0.0,0.0,0.0,Garki to Wuse,Garki,Wuse,5.26,6.24,6.17,-0.07,51.15,No Traffic,0.99
2025-12-24 00:45:47,2025-12-24,00:45:47,Wednesday,0.0,0.0,0.0,Gwarinpa to CBD,Gwarinpa,CBD,15.93,17.37,16.96,-0.41,56.36,No Traffic,0.98
